id,nama,kategori,stok,harga,status
PRD-03660,Smart Glove,Olahraga,188,1037000.00,active
PRD-03661,Digital Shirt,Pakaian,161,318000.00,active
PRD-03662,Fresh Tube,Olahraga,101,2410000.00,active
PRD-03663,Mini Glove,Olahraga,66,2502000.00,active
PRD-03664,Golden Mat,Minuman,602,40000.00,active
PRD-03665,Mega Set,Elektronik,417,6811000.00,active
PRD-03666,Premium Mouse,Minuman,0,21000.00,out_of_stock
PRD-03667,Pro Monitor,Minuman,0,29000.00,out_of_stock
PRD-03668,Premium Monitor,Peralatan,932,1209000.00,active
PRD-03669,Mega Pants,Peralatan,520,938000.00,active
PRD-07750,Original Cup,Pakaian,574,387000.00,active
PRD-07751,Prime Keyboard,Pakaian,739,488000.00,active
PRD-07752,Classic Bag,Peralatan,616,1673000.00,active
PRD-07753,Classic Pants,Minuman,385,7000.00,active
PRD-07754,Fresh Pants,Olahraga,752,2717000.00,active
PRD-07755,Classic Racket,Pakaian,460,84000.00,active
PRD-07756,Premium Drink,Pakaian,290,358000.00,active
PRD-07757,Mega Set,Pakaian,576,436000.00,active
PRD-07758,Golden Speaker,Minuman,357,21000.00,active
PRD-07759,Super Kit,Elektronik,820,1355000.00,active
PRD-03670,Super Jar,Pakaian,947,427000.00,active
PRD-03671,Max Cup,Makanan,5,47000.00,active
PRD-03672,Prime Tube,Pakaian,882,411000.00,discontinued
PRD-03673,Mini Racket,Pakaian,199,340000.00,active
PRD-03674,Elite Gadget,Olahraga,0,3235000.00,out_of_stock
PRD-03675,Original Cable,Pakaian,115,365000.00,active
PRD-03676,Smart Tube,Pakaian,339,238000.00,active
PRD-03677,Max Drink,Peralatan,933,1362000.00,active
PRD-03678,Premium Keyboard,Olahraga,14,1455000.00,active
PRD-03679,Diamond Monitor,Pakaian,128,432000.00,active
PRD-07760,Max Pants,Makanan,0,72000.00,out_of_stock
PRD-07761,Eco Ball,Elektronik,698,9831000.00,active
PRD-07762,Smart Charger,Peralatan,0,1174000.00,out_of_stock
PRD-02600,Fresh Pants,Olahraga,980,1560000.00,active
PRD-07763,Classic Kit,Peralatan,880,1477000.00,active
PRD-02601,Prime Shirt,Olahraga,943,978000.00,active
PRD-07764,Super Keyboard,Elektronik,343,5070000.00,active
PRD-02602,Classic Device,Peralatan,441,1708000.00,active
PRD-07765,Premium Glove,Minuman,588,48000.00,active
PRD-02603,Golden Box,Peralatan,519,950000.00,active
PRD-07766,Super Tool,Minuman,789,23000.00,active
PRD-02604,Mega Mat,Minuman,550,23000.00,discontinued
PRD-07767,Prime Bag,Makanan,0,22000.00,out_of_stock
PRD-02605,Premium Glove,Pakaian,75,117000.00,active
PRD-07768,Original Pack,Pakaian,883,382000.00,active
PRD-02606,Golden Glove,Olahraga,0,2052000.00,out_of_stock
PRD-07769,Classic Tool,Minuman,940,28000.00,active
PRD-02607,Smart Pants,Olahraga,617,1434000.00,active
PRD-02608,Golden Racket,Elektronik,759,7535000.00,active
PRD-02609,Natural Snack,Pakaian,399,165000.00,active
PRD-03680,Max Bag,Pakaian,194,80000.00,active
PRD-03681,Digital Rice,Elektronik,0,5767000.00,out_of_stock
PRD-03682,Mini Widget,Makanan,731,88000.00,active
PRD-03683,Diamond Gadget,Makanan,197,75000.00,active
PRD-03684,Diamond Monitor,Olahraga,626,959000.00,active
PRD-03685,Original Cup,Elektronik,661,9496000.00,active
PRD-03686,Silver Drink,Elektronik,42,6278000.00,active
PRD-03687,Eco Mouse,Makanan,491,53000.00,active
PRD-03688,Digital Mouse,Olahraga,203,1509000.00,active
PRD-03689,Mega Cup,Peralatan,759,995000.00,active
PRD-07770,Mega Widget,Makanan,733,97000.00,active
PRD-07771,Mega Widget,Elektronik,592,4174000.00,active
PRD-07772,Premium Tube,Peralatan,620,1673000.00,active
PRD-02610,Mini Mat,Pakaian,227,153000.00,active
PRD-07773,Max Mat,Pakaian,833,383000.00,active
PRD-02611,Silver Drink,Elektronik,352,2103000.00,active
PRD-07774,Royal Shirt,Elektronik,16,5535000.00,active
PRD-02612,Eco Pants,Pakaian,709,88000.00,active
PRD-07775,Original Device,Minuman,31,39000.00,active
PRD-02613,Royal Box,Minuman,69,42000.00,active
PRD-07776,Royal Racket,Elektronik,746,6713000.00,active
PRD-02614,Elite Ball,Peralatan,635,254000.00,active
PRD-07777,Royal Drink,Pakaian,136,232000.00,active
PRD-02615,Max Charger,Makanan,561,96000.00,active
PRD-07778,Original Jar,Pakaian,983,462000.00,active
PRD-02616,Super Charger,Olahraga,0,317000.00,out_of_stock
PRD-07779,Classic Mat,Elektronik,209,8938000.00,active
PRD-02617,Mega Jacket,Makanan,918,73000.00,active
PRD-02618,Royal Widget,Olahraga,865,2818000.00,active
PRD-02619,Smart Tube,Pakaian,122,169000.00,active
PRD-06700,Elite Drink,Elektronik,765,1881000.00,active
PRD-06701,Premium Charger,Minuman,962,46000.00,active
PRD-06702,Silver Racket,Olahraga,641,1784000.00,active
PRD-06703,Elite Box,Olahraga,571,1163000.00,active
PRD-06704,Prime Box,Pakaian,0,391000.00,out_of_stock
PRD-06705,Eco Set,Elektronik,435,3777000.00,active
PRD-06706,Fresh Glove,Peralatan,638,1018000.00,active
PRD-06707,Royal Cup,Pakaian,191,110000.00,active
PRD-03690,Mega Shirt,Minuman,398,5000.00,active
PRD-06708,Fresh Speaker,Minuman,348,7000.00,active
PRD-03691,Silver Jacket,Makanan,109,66000.00,active
PRD-06709,Natural Ball,Minuman,410,27000.00,active
PRD-03692,Royal Mouse,Olahraga,582,832000.00,active
PRD-03693,Original Mat,Pakaian,165,109000.00,active
PRD-03694,Eco Tool,Makanan,675,16000.00,active
PRD-03695,Max Glove,Makanan,32,99000.00,discontinued
PRD-03696,Prime Kit,Elektronik,967,6461000.00,discontinued
PRD-03697,Royal Cup,Minuman,815,14000.00,active
PRD-03698,Super Case,Makanan,967,73000.00,active
PRD-03699,Natural Jar,Elektronik,0,3364000.00,out_of_stock
PRD-07780,Natural Snack,Pakaian,566,61000.00,active
PRD-07781,Fresh Bottle,Olahraga,545,976000.00,discontinued
PRD-07782,Silver Tube,Minuman,312,45000.00,active
PRD-02620,Silver Pack,Peralatan,423,2023000.00,active
PRD-07783,Royal Keyboard,Elektronik,80,2976000.00,active
PRD-02621,Mini Shirt,Pakaian,16,66000.00,active
PRD-07784,Natural Device,Peralatan,823,967000.00,active
PRD-02622,Mini Bag,Elektronik,501,8507000.00,active
PRD-07785,Prime Mat,Olahraga,591,1784000.00,active
PRD-02623,Super Pack,Makanan,421,67000.00,active
PRD-07786,Original Jar,Elektronik,28,8840000.00,active
PRD-02624,Digital Jar,Peralatan,581,530000.00,active
PRD-07787,Max Gadget,Elektronik,189,6504000.00,active
PRD-02625,Eco Kit,Pakaian,0,400000.00,out_of_stock
PRD-07788,Max Gadget,Olahraga,310,1972000.00,active
PRD-02626,Royal Glove,Olahraga,923,2663000.00,active
PRD-07789,Premium Case,Elektronik,696,5110000.00,active
PRD-02627,Golden Monitor,Pakaian,932,407000.00,active
PRD-02628,Eco Box,Elektronik,123,1934000.00,active
PRD-02629,Super Bag,Pakaian,554,251000.00,active
PRD-06710,Royal Pack,Minuman,0,16000.00,out_of_stock
PRD-06711,Premium Bag,Elektronik,233,3763000.00,active
PRD-06712,Fresh Cup,Makanan,0,68000.00,out_of_stock
PRD-06713,Pro Keyboard,Makanan,212,28000.00,active
PRD-06714,Max Kit,Olahraga,688,1979000.00,active
PRD-06715,Fresh Shirt,Olahraga,304,2960000.00,active
PRD-06716,Digital Gadget,Minuman,0,6000.00,out_of_stock
PRD-06717,Premium Widget,Makanan,0,52000.00,out_of_stock
PRD-06718,Golden Bag,Pakaian,269,175000.00,active
PRD-06719,Natural Widget,Olahraga,489,2471000.00,active
PRD-07790,Royal Mouse,Pakaian,377,172000.00,active
PRD-07791,Premium Speaker,Olahraga,342,2282000.00,active
PRD-07792,Silver Monitor,Pakaian,32,317000.00,active
PRD-02630,Mega Cup,Minuman,155,20000.00,active
PRD-07793,Smart Ball,Olahraga,807,1816000.00,active
PRD-02631,Smart Jacket,Elektronik,84,3303000.00,active
PRD-07794,Ultra Shirt,Makanan,370,19000.00,active
PRD-02632,Eco Drink,Elektronik,0,3270000.00,out_of_stock
PRD-07795,Golden Shirt,Olahraga,0,1548000.00,out_of_stock
PRD-02633,Max Ball,Olahraga,924,368000.00,active
PRD-07796,Pro Keyboard,Pakaian,324,176000.00,active
PRD-02634,Diamond Mat,Olahraga,519,2965000.00,active
PRD-07797,Silver Pack,Minuman,0,11000.00,out_of_stock
PRD-02635,Elite Kit,Makanan,411,10000.00,active
PRD-07798,Smart Cup,Pakaian,126,263000.00,active
PRD-02636,Royal Jar,Elektronik,66,8123000.00,active
PRD-07799,Premium Gadget,Peralatan,471,670000.00,active
PRD-02637,Max Drink,Pakaian,0,430000.00,out_of_stock
PRD-02638,Eco Keyboard,Elektronik,675,4685000.00,active
PRD-02639,Fresh Shirt,Elektronik,128,9734000.00,active
PRD-06720,Silver Snack,Minuman,473,18000.00,active
PRD-06721,Mega Mat,Minuman,112,49000.00,active
PRD-06722,Smart Mat,Olahraga,258,2823000.00,active
PRD-06723,Digital Racket,Elektronik,836,6163000.00,active
PRD-06724,Fresh Shirt,Makanan,317,10000.00,active
PRD-06725,Diamond Set,Olahraga,893,335000.00,active
PRD-06726,Super Tool,Elektronik,261,3351000.00,active
PRD-06727,Fresh Keyboard,Minuman,678,17000.00,active
PRD-06728,Premium Glove,Elektronik,879,6154000.00,active
PRD-06729,Silver Tube,Elektronik,229,6164000.00,active
PRD-02640,Digital Shirt,Minuman,308,10000.00,active
PRD-02641,Digital Racket,Pakaian,49,230000.00,active
PRD-02642,Pro Kit,Olahraga,548,1157000.00,active
PRD-02643,Ultra Ball,Elektronik,320,2143000.00,active
PRD-02644,Elite Mouse,Pakaian,566,62000.00,active
PRD-02645,Original Bottle,Peralatan,800,2032000.00,active
PRD-02646,Ultra Mouse,Pakaian,647,292000.00,active
PRD-02647,Royal Bag,Olahraga,19,3265000.00,active
PRD-02648,Diamond Set,Pakaian,249,295000.00,active
PRD-02649,Premium Pants,Pakaian,55,79000.00,active
PRD-06730,Super Jar,Peralatan,221,691000.00,active
PRD-06731,Golden Pack,Olahraga,0,644000.00,out_of_stock
PRD-06732,Classic Case,Peralatan,941,273000.00,active
PRD-06733,Smart Shirt,Pakaian,800,453000.00,active
PRD-06734,Royal Tube,Peralatan,413,1782000.00,active
PRD-06735,Mini Drink,Pakaian,658,310000.00,active
PRD-06736,Elite Cup,Makanan,311,32000.00,active
PRD-06737,Super Keyboard,Makanan,509,28000.00,active
PRD-06738,Diamond Charger,Elektronik,326,3844000.00,discontinued
PRD-06739,Fresh Cable,Pakaian,159,303000.00,active
PRD-02650,Digital Glove,Makanan,255,20000.00,active
PRD-02651,Eco Jacket,Olahraga,337,2553000.00,active
PRD-02652,Pro Gadget,Elektronik,179,1747000.00,active
PRD-02653,Prime Jar,Elektronik,125,8981000.00,active
PRD-02654,Pro Glove,Olahraga,97,1901000.00,active
PRD-02655,Eco Shirt,Elektronik,886,2950000.00,active
PRD-02656,Premium Jacket,Makanan,0,20000.00,out_of_stock
PRD-02657,Digital Device,Peralatan,981,1001000.00,discontinued
PRD-02658,Pro Kit,Pakaian,697,59000.00,active
PRD-02659,Ultra Rice,Makanan,52,90000.00,active
PRD-06740,Royal Charger,Olahraga,393,1680000.00,active
PRD-06741,Max Bag,Makanan,0,88000.00,out_of_stock
PRD-06742,Original Charger,Peralatan,410,1660000.00,active
PRD-06743,Elite Drink,Elektronik,819,5333000.00,active
PRD-06744,Golden Charger,Pakaian,974,176000.00,active
PRD-06745,Smart Kit,Olahraga,478,1158000.00,active
PRD-06746,Elite Jacket,Pakaian,682,206000.00,active
PRD-06747,Max Jacket,Olahraga,817,1895000.00,active
PRD-06748,Original Tool,Pakaian,335,348000.00,active
PRD-06749,Fresh Device,Pakaian,118,151000.00,active
PRD-02660,Royal Keyboard,Olahraga,490,2975000.00,active
PRD-02661,Mega Device,Makanan,609,99000.00,active
PRD-02662,Original Monitor,Makanan,847,23000.00,active
PRD-02663,Ultra Bag,Peralatan,377,777000.00,active
PRD-02664,Diamond Ball,Elektronik,735,1141000.00,active
PRD-02665,Mini Case,Pakaian,109,397000.00,active
PRD-02666,Original Monitor,Olahraga,237,1341000.00,active
PRD-02667,Golden Widget,Makanan,780,53000.00,active
